구간,사고발생수,평균 통행량
영동 - 황간,2,12194
김천 - 동김천,3,13557
추풍령 - 김천,4,14424
황간 - 추풍령,3,14752
금강 - 영동,4,14931
옥천 - 금강,6,15757
동김천 - 김천JC,2,18435
비룡JC - 옥천,1,21201
경주 - 활천,1,21637
영천JC - 건천,3,22094
