구간,사고발생수,평균 통행량,ocode,dcode,code_x,lon_x,lat_x,code_y,lon_y,lat_y,path,color,평균 사고발생비율
영천JC - 건천,3,22094,41,42,41,129.005362,35.919393,42,129.0859,35.84283,"[[129.005362,35.919393],[129.0859,35.84283]]",#ed1c24,
건천 - 경주,6,26520,42,43,42,129.0859,35.84283,43,129.1847,35.808,"[[129.0859,35.84283],[129.1847,35.808]]",#ed1c24,
경주 - 활천,1,21637,43,44,43,129.1847,35.808,44,129.1907,35.71052,"[[129.1847,35.808],[129.1907,35.71052]]",#ed1c24,
활천 - 언양JC,9,24902,44,45,44,129.1907,35.71052,45,129.1304,35.56801,"[[129.1907,35.71052],[129.1304,35.56801]]",#ed1c24,
언양JC - 서울산,2,27652,45,46,45,129.1304,35.56801,46,129.123858,35.553454,"[[129.1304,35.56801],[129.123858,35.553454]]",#ed1c24,
서울산 - 서울주JC,8,34018,46,47,46,129.123858,35.553454,47,129.107188,35.513204,"[[129.123858,35.553454],[129.107188,35.513204]]",#ed1c24,
서울주JC - 통도사,3,36055,47,48,47,129.107188,35.513204,48,129.0957,35.50005,"[[129.107188,35.513204],[129.0957,35.50005]]",#ed1c24,
통도사 - 통도사휴게소,3,34714,48,49,48,129.0957,35.50005,49,129.0908,35.48889,"[[129.0957,35.50005],[129.0908,35.48889]]",#ed1c24,
통도사휴게소 - 양산,14,41850,49,50,49,129.0908,35.48889,50,129.0518,35.37817,"[[129.0908,35.48889],[129.0518,35.37817]]",#ed1c24,
양산 - 양산JC,14,52029,50,51,50,129.0518,35.37817,51,129.0399,35.33626,"[[129.0518,35.37817],[129.0399,35.33626]]",#ed1c24,
양산JC - 노포JC,8,35551,51,52,51,129.0399,35.33626,52,129.0995,35.288394,"[[129.0399,35.33626],[129.0995,35.288394]]",#ed1c24,
노포JC - 노포,0,0,52,53,52,129.0995,35.288394,53,129.1006,35.287,"[[129.0995,35.288394],[129.1006,35.287]]",#ed1c24,
노포 - 부산,2,29890,53,54,53,129.1006,35.287,54,129.1065,35.27906,"[[129.1006,35.287],[129.1065,35.27906]]",#ed1c24,
